id,title,all_authors,author_gender,category,format,style,wc,inquote,nframe,NN_QI,NN_NF,VB_QI,VB_NF,JJ_QI,JJ_NF,RG_QI,RG_NF,RO_QI,RO_NF,PP_QI,PP_NF,VERB_QI,VERB_NF,AUX_QI,AUX_NF,ADV_QI,ADV_NF,PROPN_QI,PROPN_NF,CCONJ_QI,CCONJ_NF,SCONJ_QI,SCONJ_NF,INTJ_QI,INTJ_NF,p1_QI,p1_NF,p2_QI,p2_NF,p3_QI,p3_NF,neg_QI,neg_NF,VBPRT_QI,VBPRT_NF,VBPRS_QI,VBPRS_NF,VBSUP_QI,VBSUP_NF,VBIMP_QI,VBIMP_NF,VBINF_QI,VBINF_NF,VBSFO_QI,VBSFO_NF,NNIND_QI,NNIND_NF,NNDEF_QI,NNDEF_NF,NNSIN_QI,NNSIN_NF,NNPLU_QI,NNPLU_NF,JJSUV_QI,JJSUV_NF,JJKOM_QI,JJKOM_NF
bstream_001,Alla kan se dig,Anna Jansson,F,CRIME,beststreamer,quot,96039,34516,48346,109428,165246,211062,198527,36476,47512,1883,3309,406,558,66954,102284,143701,141935,68287,57502,71503,68486,28103,43396,37200,37397,37403,29413,6287,228,45167,1758,20251,1096,44559,64307,17731,11169,279478,612523,397117,49489,69595,135653,60947,6147,192862,196187,31297,50844,657400,549130,337305,448116,834525,825510,160445,171736,47657,38311,57188,64867
bstream_002,"Falleri, fallera, falleralla",Carin Gerhardsen,F,CRIME,beststreamer,dash,135533,45654,89879,120230,156166,198296,170429,36908,48966,5301,3827,548,834,82008,107856,137885,128729,60586,41956,93858,86327,26920,39064,41026,46585,35747,23821,4490,623,41048,790,22933,345,23788,53850,15092,12472,211311,665557,394786,20890,74119,121165,138959,5092,178394,186382,42527,52161,602842,558421,377482,438373,787211,787760,192931,209105,42730,45899,52819,50898
bstream_003,Hämnaren,"Dag Öhrlund, Dan Buthler",M,CRIME,beststreamer,quot,113741,23355,86236,94584,169117,193320,180157,38065,47927,3597,4812,428,731,57632,105942,132306,137332,61614,43346,102890,85463,22137,48750,45130,45596,27917,29883,17855,719,54250,1160,35410,754,11903,61935,13659,7433,113178,625837,491473,22979,56257,149717,145515,3347,190255,196769,28350,45314,703033,585573,285197,408736,805794,772490,182435,222024,43870,56134,29246,57585
bstream_004,Vita spår,Emelie Schepp,F,CRIME,beststreamer,dash,110664,40038,70082,91138,159756,230606,195100,31820,40239,4246,4666,325,671,56596,102095,169539,163309,61242,31991,97258,78508,21180,39425,39088,43392,33418,19149,12813,228,46181,599,34442,285,25301,70261,16235,8433,157370,776274,406260,12653,56970,69846,223113,9873,155746,131207,34442,34374,644012,456502,338723,540372,796109,796534,187997,200518,29042,23759,47881,39716
bstream_005,Dominodöden,Jonas Moström,M,CRIME,beststreamer,quot,91424,31173,47453,116671,165469,193757,190336,28197,38586,6127,6343,610,906,68617,102059,138966,154932,55144,35635,86613,63747,46803,67709,47830,49628,34742,29440,20883,379,37982,1981,20563,274,27171,58753,11998,6849,188245,748893,455960,25908,72185,90124,128974,5314,153974,129318,29801,36758,606269,491085,384383,506750,810833,805655,180368,192180,40956,47515,45506,40961
bstream_006,Den gränslöse,Jussi Adler-Olsen,M,CRIME,beststreamer,quot,189402,73803,95292,108749,156918,178353,169238,35839,47160,3943,5562,1003,1102,72707,101236,125930,126926,52708,42763,107557,100858,27072,32762,42031,40916,31015,26539,13943,1354,38698,2351,26896,913,29037,58347,15514,10337,242270,653810,408721,36089,75971,112854,94355,6015,177999,190054,28565,47622,614627,577744,379143,419983,789559,782853,204710,214940,41588,48954,35917,46061
bstream_007,Skymningsflickan,Katarina Wennstam,F,CRIME,beststreamer,quot,114940,33543,76057,100438,155712,199028,176052,34493,47201,3965,5220,417,618,63858,101358,137286,135228,62278,41009,90421,88223,22210,37551,40545,40798,38130,27335,15681,1026,37504,1801,26026,1315,28322,65517,17351,11268,176153,187901,459257,583047,66507,65347,118484,6945,178999,156087,37897,38312,670229,555602,316711,440429,798160,772608,189077,223423,33708,33148,39758,48468
bstream_008,En mörkare himmel : Gran Canaria,"Mari Jungstedt, Ruben Eliassen",2,CRIME,beststreamer,dash,106744,26695,79969,104739,161613,222102,190736,36711,46418,3072,2326,337,550,65518,103165,150890,147607,71474,43504,95074,81319,21277,26260,34913,40366,35063,26160,8578,100,49560,563,35700,300,25698,80406,17794,8516,166807,715466,453871,11932,73200,121878,143700,3803,162085,146594,31709,37107,627325,466651,366595,532111,816166,804782,177754,194058,36735,27748,24490,47953
bstream_009,I sanningens namn,Viveca Sten,F,CRIME,beststreamer,quot,117551,35386,81772,102187,158220,204714,198638,28232,42851,3730,5026,480,893,63754,97050,141610,149232,63443,49638,93964,82730,30916,55960,42333,30169,38377,24201,8421,293,39705,660,30803,281,25010,55007,14836,11263,219768,687127,400883,18716,72888,112356,111126,4125,194368,177369,31198,46851,624723,468310,363108,528366,805586,791931,182522,204746,52052,45091,39039,55651
bstream_010,Rädslans fångar : Ett nytt fall för Maria Wern,Anna Jansson,F,CRIME,beststreamer,quot,105703,35933,55386,114992,158813,206050,203282,31420,44289,5482,2907,278,506,71077,102553,139955,143755,66930,60069,75696,69494,33284,48081,41800,39667,33284,29520,7264,433,41689,1643,22598,632,33646,66714,15056,10219,227039,623235,435575,35882,85494,132516,65910,3730,185845,204547,37007,42899,660213,550023,332769,446453,803243,821055,190223,175421,49601,41989,57573,44028
bstream_011,Kärlek sökes,Carin Hjulström,F,OTHER,beststreamer,dash,129387,53639,75666,95211,151191,216783,184310,45060,53115,4307,4295,447,885,55743,93490,151065,143261,65922,41340,111896,89763,17972,48992,43550,47049,28505,26564,12789,1718,50616,4745,29121,3489,15026,46058,15045,7401,126333,658970,455280,68550,52718,67116,171397,15703,193154,188656,27606,48186,693362,580507,280204,413549,761700,806469,211866,187762,25238,32098,35581,40806
bstream_012,Där inga ögon ser,Dag Öhrlund,M,CRIME,beststreamer,quot,89208,34205,52002,98904,166455,192954,185416,35550,43883,4356,5346,409,500,60167,97631,136120,149725,57243,36114,103260,87631,30697,44325,44116,48229,30610,28018,18886,846,47654,1250,27014,904,19763,58805,12951,6961,195758,695706,431667,21987,62273,112529,136818,6326,171970,162622,32879,45011,695241,534774,296482,461992,805498,792398,186521,204482,23026,36372,55099,49518
bstream_013,Motvind,"Dag Öhrlund, Dan Buthler",M,CRIME,beststreamer,quot,116338,29250,84072,95248,164787,201026,183664,34803,48351,4068,5067,444,476,58222,103126,141812,138465,59556,45711,105060,87841,18701,49517,43316,46460,29744,30569,17915,702,53162,809,37915,833,13504,63362,14359,7291,132313,635645,469048,17939,61565,139823,144728,3627,189966,201865,32143,47406,691314,591670,298995,404576,764896,773639,225772,222607,31434,50431,27505,54613
bstream_014,På sex meters djup,Denise Rudberg,F,CRIME,beststreamer,dash,79914,45896,34018,108463,154536,209234,190311,45603,47651,3791,3116,610,706,72751,100123,140906,151126,68851,39332,109312,87689,23749,58998,38043,41302,36103,26045,4728,206,46496,1881,18891,500,30373,56646,14141,7143,210559,700958,403728,12357,83099,107970,92055,3089,209830,175317,45402,43250,682804,545939,310366,449496,747489,793609,245882,201826,41567,47502,54945,54287
bstream_015,Prio ett,Emelie Schepp,F,CRIME,beststreamer,dash,117630,45656,71435,89912,148107,231295,202408,32789,37055,3351,4172,394,616,56882,97305,168193,164653,63321,38049,91532,76111,24422,41114,41769,45286,35548,23742,13229,350,48055,4550,33621,868,24071,79107,17479,8413,127083,751643,425095,23584,66572,76354,216572,4772,164299,143509,27083,33612,668940,459452,323021,538469,802436,807656,189525,190265,42084,26067,43420,40423
bstream_017,Mordbrännaren,"Anders Gustafson, Johan Kant",M,CRIME,beststreamer,dash,100034,25747,74155,114421,163657,220064,196925,36703,41211,3651,6271,233,688,65600,100843,159358,145843,61211,51514,96011,75882,29168,55559,37519,42330,29868,26768,12312,391,43539,526,28392,283,20041,58405,12545,7821,175079,669383,388281,11094,64066,147846,205259,4451,165902,166884,27886,51770,652071,550016,334352,447100,760014,786668,226409,210613,35979,30105,24339,32395
bstream_018,Midnattsflickor,Jonas Moström,M,CRIME,beststreamer,quot,112546,37203,66539,116550,169750,194232,185125,32336,42426,6478,7229,833,1187,66177,104285,140338,151355,54270,34055,92412,65300,39056,55952,46744,45627,36959,25188,17445,586,40534,1503,20993,902,28492,60957,12176,6492,197066,718948,447274,71440,67257,77610,132300,5683,155688,126238,25048,35639,608395,471979,383072,525719,809502,798672,182196,199026,40732,40383,36575,54198
bstream_019,När livet börjar om,Lucy Dillon,F,OTHER,beststreamer,quot,167227,56516,82994,91885,142516,202067,183001,36255,55100,3132,3109,637,819,59930,97609,134794,136552,67556,46630,101370,83259,23763,42172,43527,44316,36202,28845,18313,928,51065,3904,34539,771,21056,71415,18101,11712,184063,656373,430911,39110,63923,108178,111121,6321,208844,189689,20140,31867,678028,583869,312536,412327,800886,794978,190256,201640,39043,22524,43924,38268
bstream_020,Välkommen hem,Ninni Schulman,F,CRIME,beststreamer,quot,140787,49896,88513,79986,145210,203844,198671,34492,37994,2365,2847,441,531,54634,95737,137686,158576,66779,40423,104097,97116,26996,41226,47860,40186,35193,26708,21645,1096,45895,6971,29441,1028,16735,62703,17336,10654,213843,677623,400747,55559,67250,85300,128011,4094,188477,176628,29594,35030,664495,426982,325482,569906,819594,775539,170634,221349,35445,43116,30796,39548
bstream_021,Sov du lilla videung,"Cilla Börjlind, Rolf Börjlind",2,CRIME,beststreamer,dash,140763,34189,106458,97341,156541,230747,189201,30712,44168,3042,2593,234,939,58528,98067,169528,142770,61540,46770,103367,92637,18778,36813,33637,44515,26529,20515,14449,291,42938,1663,33052,498,29132,66261,12665,9995,168969,742081,388389,24824,57929,91798,254532,3575,129547,137524,26366,30037,672476,562136,319111,435884,798077,821722,194111,176298,39048,27222,36190,39345
bstream_022,Den hemliga kvinnan,Anna Ekberg,F,CRIME,beststreamer,dash,139008,33422,105460,103495,142367,209443,183814,36443,45790,4069,3300,389,740,61217,88726,141733,141267,68129,42860,91257,85236,29531,39124,30698,27925,29053,21013,5236,1195,40303,2683,32075,1697,31506,75005,14900,9691,135571,123033,506714,665979,51571,59737,138714,8666,166714,142327,27143,30694,648453,518250,346343,478753,785487,789130,209309,208006,39409,35825,41872,42038
bstream_023,Det du inte vet,Anna Jansson,F,CRIME,beststreamer,quot,101680,35439,51753,108299,161768,207822,203061,30955,42490,3838,3111,339,328,71560,102506,143599,145228,64900,58412,76554,69793,35921,52113,40125,37196,34454,27554,7393,444,43286,850,18990,328,41282,63629,15632,10589,224033,630602,436931,33210,79973,139309,71826,5709,187237,191169,36931,46341,634184,541209,354351,456402,819177,827520,170141,170091,45579,50023,42844,50477
bstream_024,Tryggare kan ingen vara,Dag Öhrlund,M,CRIME,beststreamer,quot,123026,56903,64496,110838,165731,194717,186864,39084,44390,5342,4993,369,620,65761,96983,138007,150087,57062,37367,102684,86595,19911,47615,45709,48778,30701,26141,16625,884,44233,2155,25781,1147,18048,58035,11458,7055,142960,694822,462545,28377,67148,109857,136733,4730,188357,161799,35469,42317,662439,555618,326463,441388,776597,782393,212462,214707,45414,46804,49460,50995
bstream_025,Uppståndelsen,"Dag Öhrlund, Dan Buthler",M,CRIME,beststreamer,quot,101625,27525,73035,106521,170261,194732,179298,43124,47539,5958,5422,545,575,59982,102786,134823,140289,60163,39543,102452,81413,21108,54864,47484,46882,27502,28630,14423,657,53733,1643,34369,1287,13188,60642,11045,6107,105970,667354,490858,24666,43284,107216,138619,2444,219030,197098,30410,43452,718281,581343,260573,413269,737040,777483,241814,217209,47178,37154,44650,50115
bstream_026,De sju som såg,Denise Rudberg,F,CRIME,beststreamer,dash,79270,45870,33400,101461,153563,210246,189521,45237,46377,4753,4102,480,1138,68629,97665,143122,152365,67757,37335,117680,94551,19533,54581,37802,40689,39045,28263,7172,240,52736,1826,24221,1138,27404,59491,13277,7156,195458,694155,405952,14376,77561,96682,97263,2686,222418,191943,38884,50237,710572,530318,286205,466368,741728,792552,255049,204133,38554,41317,60241,51646
bstream_027,Trogen intill döden,Jonas Moström,M,CRIME,beststreamer,quot,118726,43291,62307,125084,165696,190617,186881,31623,40333,8177,7078,647,738,71447,102830,137419,150737,53452,36336,88587,66862,41071,61903,47493,45308,36959,26851,16354,722,38507,3772,19796,770,24578,59929,10995,7254,219220,673652,426321,99021,75497,98677,121910,4981,156689,123497,33568,32463,612558,490604,379501,505909,810342,794460,182271,202053,46019,46558,46019,53721
bstream_028,Prästens lilla flicka,Susan Casserfelt,F,CRIME,beststreamer,quot,108629,31807,74727,118464,173231,197441,190507,29679,41765,5533,4322,346,803,64671,106588,143553,147176,54170,43599,84635,83223,33955,44964,36407,31956,33232,25680,17512,642,38482,964,33200,335,20467,58292,12356,9662,225637,687482,402548,40531,60191,94900,140605,5058,170064,171888,29618,37581,589703,443955,358811,549710,787420,833758,160828,160371,32839,36847,44492,50625
bstream_029,Den tatuerade cirkeln,Susan Casserfelt,F,CRIME,beststreamer,quot,142942,51456,88402,111163,179193,198130,183220,33465,46560,5344,4661,466,645,60673,109760,143696,146988,54726,36413,87939,82736,20600,37658,38032,34988,32649,25814,16830,532,46273,577,31405,249,15081,59331,13487,7579,167827,749954,435115,12224,45905,69025,163021,2964,186954,165586,35998,41057,635490,448330,341259,547377,798776,823370,178322,172653,46458,32799,54007,39602
bstream_030,Kvinnan på bänken,Anna Jansson,F,CRIME,beststreamer,quot,92306,35681,41569,113282,158917,205291,199452,35789,45827,2214,2309,280,746,68804,98920,138673,141836,67095,58553,76147,71135,22589,42868,42151,37696,36154,28098,7595,289,45627,1467,21468,1227,37471,69018,15583,12846,258840,633579,400956,38355,85461,144132,72491,5789,182253,178145,41365,45592,637803,542537,351806,453981,823850,827884,166007,168635,39937,31496,52467,48819
bstream_031,Bakom stängda dörrar,B.A. Paris,F,CRIME,beststreamer,quot,97939,30625,56954,75200,114865,211331,215086,30890,34449,2645,2739,588,808,57535,96060,143543,160006,68082,55571,98220,80714,28310,26583,41241,42174,45192,52657,17143,421,54498,92197,41241,88,23641,43193,19592,12396,158375,392082,432324,307510,52843,75918,106922,735,248146,223184,21786,30204,696483,552125,294833,445888,846287,838581,145462,159431,44397,44852,42283,46891
bstream_033,5:e Moseboken,Christina Larsson,F,CRIME,beststreamer,quot,110462,49248,42201,118177,146347,196353,195920,36814,41753,6356,11185,995,995,80227,100235,135498,149712,61261,46468,96207,82913,25828,56776,45098,48743,31372,26777,12853,687,43697,2393,19148,972,30458,60994,10579,7298,209307,694243,422441,36164,88521,94219,86556,2298,192451,172593,40021,41243,640034,524611,349141,466645,754124,787079,235052,204339,44126,41998,30336,35187
bstream_034,Nådastöten,Christina Larsson,F,CRIME,beststreamer,quot,105840,39922,44612,117554,152918,195907,186743,35018,35147,3457,9235,426,628,75622,102730,135339,146821,61044,40438,89299,82780,23020,55411,49271,46871,32864,25442,12424,695,41731,2309,25825,1009,23621,62719,12700,8540,186293,691994,430380,27368,84005,91106,92060,5281,206240,183891,41043,49694,626678,531955,363520,464673,761134,760921,229065,235855,43634,35077,60801,46556
bstream_035,Se till mig som liten är,Dag Öhrlund,M,CRIME,beststreamer,quot,140523,66148,73533,105037,167435,192916,190676,37265,43912,4596,5834,559,612,63479,97956,137510,148355,55814,43083,101575,84452,18171,44116,46608,49298,30175,28219,19865,857,48815,1251,25745,694,19411,57022,12638,7180,166915,693460,445341,19257,59792,114685,143092,4993,182901,166821,31267,47215,670841,538093,316926,459470,793034,784276,195020,213613,42191,36854,41379,46764
bstream_036,Domaren,Dag Öhrlund,M,CRIME,beststreamer,quot,107820,28636,78326,89992,163292,198491,188150,39251,47621,2444,5030,314,536,50531,96967,138637,141958,60344,46779,100817,85323,15086,36808,48610,47736,27099,28892,24410,1149,51020,1596,34956,1736,15575,65100,14737,8758,144441,652439,458128,24496,60697,123295,155700,6514,179451,192577,26566,46414,717889,582486,272022,414543,800155,773026,190144,224159,32028,36729,34698,55496
bstream_037,Hämndens pris,Erik Lewin,M,CRIME,beststreamer,quot,119359,24897,87498,110817,163044,207374,196622,39844,45018,5824,5532,1004,709,67237,97819,141503,139992,66313,57156,89007,85213,17833,36207,40165,41864,33498,28103,8234,880,54505,1234,39884,446,17030,54573,16508,11086,103816,646652,509781,21332,58687,125785,85028,2383,240945,203267,32346,50453,668358,532805,296847,462919,716202,747021,249003,248773,33266,42143,40323,57629
bstream_038,Änglabarnet,"Anders Gustafson, Johan Kant",M,CRIME,beststreamer,quot,26067,5862,19601,128113,176675,191232,190756,37189,47651,4094,6377,682,1326,68577,103158,134425,141625,57148,49538,98431,77853,35995,47447,42818,46375,28489,24182,23371,204,36336,612,17912,0,14500,52650,6824,5255,271186,687082,354148,11768,80285,143354,117752,802,176628,156994,37467,65793,579228,503898,412783,492348,805593,796997,185087,199249,41284,19272,13761,47109
bstream_039,Skuggorna ruva,Jonas Moström,M,CRIME,beststreamer,quot,120225,43494,61037,102543,157118,203867,191458,27268,36617,6599,6177,828,967,66239,102168,145974,158052,58307,33701,90564,63879,42466,67156,46696,46316,40511,28475,15106,655,36143,1507,20302,557,35085,60717,13266,6373,237397,693822,407691,103628,77817,78556,114808,5391,162174,118432,29097,35427,593722,479041,399327,518352,826233,799687,167040,197810,51433,43400,33727,42506
bstream_040,Ondskans ansikte,Mats Ahlstedt,M,CRIME,beststreamer,dash,96734,40910,55668,124151,166505,211024,188367,38181,41227,3471,3557,856,808,76974,107153,142630,143529,69005,45394,87485,79166,26595,41262,34001,39772,35493,26748,3667,323,47592,1006,30702,72,29650,65657,15546,9952,181629,709804,459516,16212,70659,88404,104830,6103,182671,179287,35330,40149,670604,500378,322898,496062,797401,801057,195905,195382,52497,45752,55058,49237
