id,isbn,title,all_authors,publisher,publication_date,author_gender,format,category,orthography
bstream_001,9789113065588,Alla kan se dig,Anna Jansson,Norstedts,2015-03-19,F,beststreamer,CRIME,quot
bstream_002,9789113049991,"Falleri, fallera, falleralla",Carin Gerhardsen,Norstedts,2015-05-21,F,beststreamer,CRIME,dash
bstream_003,9789174614206,Hämnaren,"Dag Öhrlund, Dan Buthler",Lind & Co,2015-04-15,M,beststreamer,CRIME,quot
bstream_004,9789173489492,Vita spår,Emelie Schepp,Bonnier Audio,2015-05-19,F,beststreamer,CRIME,dash
bstream_005,9789174614541,Dominodöden,Jonas Moström,Lind & Co,2015-07-20,M,beststreamer,CRIME,quot
bstream_006,9789176510285,Den gränslöse,Jussi Adler-Olsen,Bonnier Audio,2015-05-04,M,beststreamer,CRIME,quot
bstream_007,9789176510698,Skymningsflickan,Katarina Wennstam,Bonnier Audio,2015-07-31,F,beststreamer,CRIME,quot
bstream_008,9789173489553,En mörkare himmel : Gran Canaria,"Mari Jungstedt, Ruben Eliassen",Bonnier Audio,2014-12-30,2,beststreamer,CRIME,dash
bstream_009,9789176510636,I sanningens namn,Viveca Sten,Bonnier Audio,2015-11-04,F,beststreamer,CRIME,quot
bstream_010,9789113071169,Rädslans fångar : Ett nytt fall för Maria Wern,Anna Jansson,Norstedts,2016-03-10,F,beststreamer,CRIME,quot
bstream_011,9789176511329,Kärlek sökes,Carin Hjulström,Bonnier Audio,2016-04-13,F,beststreamer,OTHER,dash
bstream_012,9789174616392,Där inga ögon ser,Dag Öhrlund,Lind & Co,2016-05-23,M,beststreamer,CRIME,quot
bstream_013,9789174615203,Motvind,"Dag Öhrlund, Dan Buthler",Lind & Co,2015-12-23,M,beststreamer,CRIME,quot
bstream_014,9789176512616,På sex meters djup,Denise Rudberg,Bonnier Audio,2016-10-19,F,beststreamer,CRIME,dash
bstream_015,9789176511992,Prio ett,Emelie Schepp,Bonnier Audio,2016-05-16,F,beststreamer,CRIME,dash
bstream_017,9789176291948,Mordbrännaren,"Anders Gustafson, Johan Kant",Bokfabriken,2016-03-24,M,beststreamer,CRIME,dash
bstream_018,9789174616545,Midnattsflickor,Jonas Moström,Lind & Co,2016-07-04,M,beststreamer,CRIME,quot
bstream_019,9789176511299,När livet börjar om,Lucy Dillon,Bonnier Audio,2016-01-27,F,beststreamer,OTHER,quot
