isbn,isbn_firstep,title,all_authors,season,episode,publisher,publication_date,length
9789178151301,9789178151301,1986 - S1E1,Jesper Ersgård,1,1,Storytel Original,2018-08-21,1.0289901000000001
9789178151318,9789178151301,1986 - S1E2,Jesper Ersgård,1,2,Storytel Original,2018-08-21,0.96772310000000006
9789178151325,9789178151301,1986 - S1E3,Jesper Ersgård,1,3,Storytel Original,2018-08-21,0.92132960000000008
9789178151332,9789178151301,1986 - S1E4,Jesper Ersgård,1,4,Storytel Original,2018-08-21,0.9030086
9789178151349,9789178151301,1986 - S1E5,Jesper Ersgård,1,5,Storytel Original,2018-08-21,0.9143164
9789178151356,9789178151301,1986 - S1E6,Jesper Ersgård,1,6,Storytel Original,2018-08-21,0.8887064
9789178151363,9789178151301,1986 - S1E7,Jesper Ersgård,1,7,Storytel Original,2018-08-21,0.9319479
9789178151370,9789178151301,1986 - S1E8,Jesper Ersgård,1,8,Storytel Original,2018-08-21,0.89759110000000009
9789178151387,9789178151301,1986 - S1E9,Jesper Ersgård,1,9,Storytel Original,2018-08-21,0.908564
9789178151394,9789178151301,1986 - S1E10,Jesper Ersgård,1,10,Storytel Original,2018-08-21,0.9414827
9789178691401,9789178691401,1986 - S2E1,Jesper Ersgård,2,1,Storytel Original,2019-06-19,0.97737610000000008
9789178691418,9789178691401,1986 - S2E2,Jesper Ersgård,2,2,Storytel Original,2019-06-19,0.9533815000000001
9789178691425,9789178691401,1986 - S2E3,Jesper Ersgård,2,3,Storytel Original,2019-06-19,0.92172360000000009
9789178691432,9789178691401,1986 - S2E4,Jesper Ersgård,2,4,Storytel Original,2019-06-19,0.9340952
9789178691449,9789178691401,1986 - S2E5,Jesper Ersgård,2,5,Storytel Original,2019-06-19,0.9159909
9789178691456,9789178691401,1986 - S2E6,Jesper Ersgård,2,6,Storytel Original,2019-06-19,0.95974460000000006
9789178691463,9789178691401,1986 - S2E7,Jesper Ersgård,2,7,Storytel Original,2019-06-19,0.9684323
9789178691470,9789178691401,1986 - S2E8,Jesper Ersgård,2,8,Storytel Original,2019-06-19,0.9648666
9789178691487,9789178691401,1986 - S2E9,Jesper Ersgård,2,9,Storytel Original,2019-06-19,0.98915670000000011
9789178691494,9789178691401,1986 - S2E10,Jesper Ersgård,2,10,Storytel Original,2019-06-19,0.996426
9789179076702,9789179076702,1986 - S3E1,Jesper Ersgård,3,1,Storytel Original,2020-06-24,0.8710158
9789179076719,9789179076702,1986 - S3E2,Jesper Ersgård,3,2,Storytel Original,2020-06-24,0.86305700000000007
9789179076726,9789179076702,1986 - S3E3,Jesper Ersgård,3,3,Storytel Original,2020-06-24,0.83352670000000006
9789179076733,9789179076702,1986 - S3E4,Jesper Ersgård,3,4,Storytel Original,2020-06-24,0.88342680000000007
9789179076740,9789179076702,1986 - S3E5,Jesper Ersgård,3,5,Storytel Original,2020-06-24,0.84818350000000009
9789179076757,9789179076702,1986 - S3E6,Jesper Ersgård,3,6,Storytel Original,2020-06-24,0.87257210000000007
